id_user,nama_nasabah,tanggal_lahir,nama_ibu_kandung,segmen_demografi,gaji_bulanan,persona_dasar,is_dynamic,persona_bulan_1,persona_bulan_2,persona_bulan_3
USR-362,Sutan Perkasa Hakim,1992-10-30,Gina Permata,First Jobber,4750000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-074,"Bakiadi Suryono, M.TI.",2002-04-04,dr. Cornelia Prakasa,Mahasiswa,3210000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-375,Karen Mulyani,2006-03-14,Cinthia Halimah,First Jobber,5580000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-156,Sari Laksita,2006-01-04,Lasmanto Hidayat,Mahasiswa,2970000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-105,"drg. Jaka Fujiati, M.Farm",1995-02-20,"R.A. Yance Irawan, S.T.",Mahasiswa,1600000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-395,R.A. Qori Wibisono,2002-06-30,Tgk. Harjo Mandala,First Jobber,4690000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-378,Eva Napitupulu,1996-03-30,Qori Prasasta,First Jobber,5960000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-125,Salimah Hutapea,1993-02-18,Kusuma Hutagalung,Mahasiswa,2140000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-069,Salimah Maheswara,2003-04-07,Ophelia Saragih,Mahasiswa,1550000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-451,"KH. Hendra Halim, S.T.",2005-11-30,Nardi Mustofa,Profesional,14400000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-010,"Puti Kezia Setiawan, M.M.",2001-10-01,Elisa Uwais,Mahasiswa,1510000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-195,Drs. Irfan Januar,2004-08-01,Simon Yolanda,Mahasiswa,3420000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-407,Ilsa Santoso,1999-03-09,Caturangga Fujiati,Profesional,8760000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-085,Puput Hastuti,1997-10-16,Rafi Andriani,Mahasiswa,1960000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-372,Fathonah Sitorus,1995-10-07,Danuja Nainggolan,First Jobber,5690000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-389,Mursinin Prasetyo,1995-09-16,"Puti Safina Yulianti, S.Gz",First Jobber,5330000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-496,Jaiman Uwais,2000-12-16,Vera Napitupulu,Profesional,9800000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-031,Utama Firmansyah,2005-10-13,Kamidin Prakasa,Mahasiswa,1580000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-317,"Farhunnisa Zulkarnain, M.TI.",2004-04-04,Zizi Halim,First Jobber,4500000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-409,Najam Utami,1999-03-26,R.A. Michelle Kurniawan,Profesional,19000000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-491,KH. Vino Yolanda,1997-11-09,Hilda Agustina,Profesional,9590000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-492,"Jamalia Saputra, S.Pt",2000-08-05,Jefri Wulandari,Profesional,19740000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-281,Simon Hidayanto,1998-06-12,"Maimunah Irawan, S.Psi",First Jobber,5130000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-357,"Cut Usyi Damanik, S.Pd",1998-08-23,"Puji Anggraini, M.Pd",First Jobber,5470000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-077,Lalita Prasasta,1992-12-18,"Agnes Kurniawan, S.Farm",Mahasiswa,3500000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-462,Aslijan Widodo,2001-07-27,"Tira Pradipta, S.Farm",Profesional,10210000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-498,Tgk. Makara Anggriawan,2007-06-05,Prabu Wahyuni,Profesional,18730000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-212,Ir. Gaiman Gunawan,1994-04-11,Cut Agnes Putra,First Jobber,5530000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-102,Jono Yuliarti,1996-06-13,"drg. Yuni Lestari, S.IP",Mahasiswa,1670000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-335,Humaira Nababan,2004-11-12,Elisa Haryanti,First Jobber,5560000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-476,"R. Agus Rahmawati, S.Pt",1990-07-22,Arta Halim,Profesional,9010000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-337,Lurhur Uyainah,2006-06-16,"drg. Oliva Simbolon, S.Pt",First Jobber,5220000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-441,"drg. Putri Mayasari, M.Kom.",1997-09-03,Lidya Handayani,Profesional,9500000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-174,"Samiah Widodo, M.Pd",1996-11-21,"dr. Aditya Saptono, M.Pd",Mahasiswa,3380000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-003,Daruna Mayasari,2001-02-22,Sutan Nasrullah Yulianti,Mahasiswa,3380000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-334,Mutia Yuniar,2000-02-02,Diana Mayasari,First Jobber,4670000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-410,Gadang Ardianto,2007-05-22,Zaenab Safitri,Profesional,15590000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-071,"Wage Wibowo, S.E.",2001-05-22,Latika Pudjiastuti,Mahasiswa,3310000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-210,"Irwan Laksita, M.Ak",1998-04-07,Gasti Mulyani,First Jobber,5740000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-064,Shania Nasyiah,1996-04-08,Bambang Rajata,Mahasiswa,2040000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-385,Dr. Hendra Budiman,1990-08-10,"Ika Nasyiah, S.Pd",First Jobber,4850000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-094,"Puput Habibi, S.I.Kom",1994-05-06,Purwadi Yulianti,Mahasiswa,3280000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-486,Tania Permata,2001-08-09,Mutia Melani,Profesional,18180000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-186,"R.A. Julia Maulana, M.Ak",1990-05-11,"R. Diah Namaga, S.T.",Mahasiswa,3280000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-034,"Irfan Thamrin, S.Farm",1997-09-15,"Cut Samiah Yolanda, S.IP",Mahasiswa,3170000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-078,Cecep Maryati,1998-09-02,Sutan Vero Maheswara,Mahasiswa,1980000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-001,"Balidin Dongoran, S.T.",1994-09-19,Okto Jailani,Mahasiswa,3130000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-012,"Cawisono Nasyidah, S.H.",1993-04-01,Humaira Uyainah,Mahasiswa,3450000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-416,Wawan Hariyah,2007-04-14,Ismail Siregar,Profesional,12830000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-023,Vanesa Marpaung,2000-01-07,"Dr. Vega Adriansyah, M.Ak",Mahasiswa,1910000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-073,Maimunah Handayani,2002-06-21,drg. Putu Narpati,Mahasiswa,1680000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-183,"Gatot Halim, S.Sos",1995-04-10,Warta Hasanah,Mahasiswa,2120000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-132,Tirtayasa Astuti,2003-07-13,Tgk. Aisyah Iswahyudi,Mahasiswa,2440000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-411,Wani Sitompul,1998-03-26,Yulia Yulianti,Profesional,19060000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-194,Drs. Tania Simbolon,1997-03-01,Drs. Ida Hasanah,Mahasiswa,3400000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-056,Dt. Rafid Uwais,2000-10-17,Irfan Mahendra,Mahasiswa,3030000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-149,Juli Puspasari,2004-01-15,Mutia Sinaga,Mahasiswa,2800000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-019,Kezia Riyanti,2008-03-28,T. Kadir Anggriawan,Mahasiswa,1670000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-205,Tira Saragih,2006-11-24,Agnes Najmudin,First Jobber,5490000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-079,Diana Hariyah,2002-04-29,Drs. Galiono Handayani,Mahasiswa,2600000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-495,Ajeng Uwais,1993-12-02,Tgk. Ulya Oktaviani,Profesional,17420000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-263,"Cemplunk Mansur, S.Pt",2003-03-13,Ani Sihombing,First Jobber,5090000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-324,"KH. Cakrabuana Siregar, S.Gz",1995-06-27,"Cindy Situmorang, M.M.",First Jobber,5110000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-484,Dr. Purwa Rajata,1993-04-24,Pangestu Santoso,Profesional,12320000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-080,Drs. Maria Pudjiastuti,1998-05-02,Paiman Kusmawati,Mahasiswa,2690000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-040,Lintang Puspita,2002-03-22,Eva Nainggolan,Mahasiswa,1730000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-452,Cakrabuana Sinaga,2005-03-22,"Ir. Hartana Lestari, S.E.I",Profesional,13220000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-047,Michelle Sihotang,2007-01-12,Adika Haryanti,Mahasiswa,3420000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-239,Ganep Laksita,1993-10-06,Chandra Hutagalung,First Jobber,5370000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
